|    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |
---------------------------------------------------------
|   12 |    8 |    8 |    8 |    7 |    6 |    6 |   20 |
|   15 |    9 |    9 |    9 |   10 |    8 |    7 |   20 |
|   18 |   11 |   11 |   11 |   11 |   10 |    8 |   20 |
|   18 |   11 |   11 |   10 |   10 |    9 |    8 |   20 |
|   15 |    9 |    9 |    9 |    8 |    7 |    6 |   20 |
|   10 |    7 |    6 |    6 |    6 |    5 |    4 |   20 |
|    5 |    4 |    4 |    4 |    3 |    3 |    3 |   22 |
|    3 |    3 |    3 |    3 |    3 |    2 |    2 |   23 |
|    4 |    3 |    4 |    4 |    4 |    3 |    3 |   25 |
|    7 |    6 |    7 |    6 |    6 |    5 |    5 |   53 |
|   12 |    8 |    8 |    8 |    8 |    7 |    6 |   58 |
|   17 |   10 |   10 |   10 |   10 |    9 |    8 |   59 |
|   18 |   12 |   11 |   11 |   10 |    9 |    8 |   62 |
|   17 |   10 |    9 |    9 |    8 |    8 |    7 |   65 |
|   11 |    7 |    7 |    7 |    6 |    5 |    5 |   64 |
|    7 |    5 |    5 |    5 |    4 |    3 |    3 |   71 |
|    2 |    3 |    3 |    3 |    3 |    2 |    2 |   73 |
|    2 |    1 |    3 |    3 |    3 |    3 |    3 |   90 |
|    6 |    5 |    5 |    5 |    5 |    4 |    4 |   85 |
|   10 |    7 |    7 |    8 |    7 |    6 |    6 |   78 |
|   15 |    9 |    9 |   10 |    9 |    8 |    7 |   75 |
|   19 |   11 |   11 |   11 |   11 |    9 |    8 |   69 |
C|   19 |   11 |   11 |   10 |   10 |    9 |    8 |   64 |
|   15 |    9 |    9 |    8 |    8 |    7 |    6 |   59 |
|    9 |    6 |    6 |    6 |    6 |    5 |    4 |   54 |
